12B-cs2,12B-sc2,12B-cs,12B-sc
14.02095,5.85112,7.68354,24.80418
14.02593,5.85562,7.68812,24.80712
14.02971,5.85902,7.69297,24.81012
14.03584,5.8618,7.698,24.81468
14.04009,5.86518,7.70232,24.81804
14.04322,5.8694,7.70926,24.82098
14.04709,5.87286,7.71099,24.82404
14.05225,5.87612,7.71714,24.82914
14.05786,5.87928,7.72076,24.83076
14.06051,5.88264,7.72628,24.83514
14.06564,5.8866,7.73095,24.83854
14.06916,5.88964,7.73407,24.84118
14.07418,5.89246,7.73775,24.84562
14.08037,5.89618,7.74196,24.84792
14.08365,5.89996,7.74615,24.85126
14.08926,5.9041,7.75232,24.85598
14.0911,5.90786,7.75462,24.85926
14.09713,5.91012,7.76244,24.8631
14.10318,5.91418,7.76638,24.8663
14.10512,5.91704,7.77009,24.86964
14.10936,5.92118,7.77373,24.87328
14.1147,5.92458,7.77807,24.87678
14.12013,5.9273,7.78406,24.87954
14.1231,5.9313,7.78826,24.88362
14.12759,5.93524,7.79116,24.88658
14.13325,5.9379,7.79457,24.89062
14.13673,5.9422,7.80092,24.89338
14.1422,5.94494,7.80391,24.89822
14.14644,5.94916,7.80767,24.89964
14.14906,5.95168,7.81378,24.90418
