1024B-ACK,1024B-FaF,1024B-throughput-opt,128B-ACK,128B-FaF,12B-ACK,12B-FaF
53.94918,45.80389,53.19777,8.1237,8.82632,6.1609,2.56382
53.94877,45.80052,53.20044,8.1233,8.82602,6.16049,2.56245
53.94837,45.8031,53.20003,8.12289,8.82565,6.15984,2.56193
53.94503,45.80255,53.19961,8.12248,8.82517,6.15968,2.56126
53.94737,45.80221,53.1962,8.12207,8.82486,6.15932,2.56114
53.94719,45.79866,53.1988,8.12166,8.82436,6.15887,2.56072
53.94674,45.80137,53.19843,8.12108,8.82402,6.15808,2.56025
53.9434,45.80092,53.19797,8.12185,8.82352,6.15786,2.55945
53.94592,45.80053,53.19456,8.12144,8.82317,6.15765,2.55929
53.94551,45.79711,53.19694,8.12103,8.82261,6.15625,2.55809
53.94511,45.79969,53.19673,8.11862,8.82106,6.15559,2.55757
53.94178,45.79919,53.19633,8.11822,8.82076,6.15544,2.5569
53.94436,45.79885,53.20192,8.11781,8.82047,6.15508,2.55678
53.94393,45.79543,53.2045,8.1174,8.81992,6.15463,2.55636
53.94348,45.79781,53.20414,8.11699,8.81962,6.15397,2.55589
53.94002,45.79756,53.20368,8.11658,8.81911,6.15381,2.55522
53.94266,45.79717,53.20026,8.116,8.81876,6.15341,2.5551
53.94225,45.79375,53.2029,8.11576,8.81826,6.153,2.55373
53.94185,45.79633,53.20245,8.11536,8.81791,6.15235,2.55321
53.93852,45.79583,53.19403,8.11596,8.81737,6.15219,2.55254
53.94111,45.79549,53.19054,8.11555,8.81682,6.15084,2.55242
53.94068,45.79212,53.19321,8.11514,8.81652,6.15038,2.552
53.94022,45.7947,53.19285,8.11273,8.81614,6.14972,2.55153
53.93689,45.79421,53.19238,8.11232,8.81566,6.14956,2.55086
53.93924,45.79381,53.18897,8.11191,8.81536,6.14916,2.55074
53.93901,45.79026,53.19156,8.1115,8.81487,6.14875,2.55037
53.93859,45.79297,53.19115,8.11091,8.81352,6.14798,2.54885
53.93526,45.79248,53.19074,8.11069,8.81301,6.14774,2.54805
53.93786,45.79213,53.18733,8.11028,8.81266,6.14759,2.54789
53.93743,45.78871,53.18971,8.10987,8.81211,6.14713,2.54765
53.93696,45.79133,53.18955,8.10946,8.81156,6.14548,2.54717
53.93464,45.79084,53.18909,8.10905,8.81127,6.14532,2.5465
53.93623,45.79045,53.18568,8.10864,8.81097,6.14492,2.54638
53.93575,45.78702,53.18827,8.10924,8.81042,6.14451,2.54602
53.93535,45.78941,53.18786,8.10883,8.81011,6.14386,2.54449
53.93189,45.78911,53.18745,8.10642,8.80961,6.1437,2.54382
53.9346,45.78876,53.18403,8.10583,8.80926,6.14335,2.5437
53.93417,45.78535,53.18667,8.1056,8.80877,6.14289,2.54328
53.93372,45.78793,53.18626,8.10519,8.80842,6.14224,2.54281
53.93039,45.78748,53.18581,8.10479,8.80787,6.14207,2.54214
53.93291,45.78709,53.18231,8.10438,8.80731,6.14067,2.54203
53.93249,45.78372,53.18498,8.10397,8.80601,6.14026,2.54165
53.93209,45.78629,53.18457,8.10356,8.80564,6.13961,2.54013
53.92876,45.78574,53.18416,8.10315,8.80517,6.13945,2.53946
53.9311,45.7854,53.18074,8.10274,8.80487,6.1391,2.53934
53.93092,45.78186,53.18334,8.10234,8.80437,6.13864,2.53891
53.93047,45.78456,53.18298,8.10275,8.80402,6.13786,2.53844
53.92713,45.78412,53.18252,8.10252,8.80351,6.13763,2.53765
53.92965,45.78372,53.1791,8.10011,8.80317,6.13743,2.53748
53.92925,45.7803,53.18149,8.0997,8.80262,6.13702,2.53728
53.92884,45.78287,53.18128,8.0993,8.80207,6.13637,2.53576
53.92551,45.78239,53.18087,8.09889,8.80177,6.13521,2.53509
53.92811,45.78204,53.17746,8.09848,8.80147,6.13486,2.53497
53.92767,45.77861,53.18005,8.09807,8.80091,6.1344,2.53454
53.92721,45.781,53.17969,8.09766,8.80062,6.13375,2.53407
53.92376,45.78075,53.17922,8.09726,8.80012,6.13359,2.5334
53.9264,45.78035,53.17582,8.09667,8.79877,6.13318,2.53328
53.92599,45.77693,53.17846,8.09644,8.79827,6.13278,2.5329
53.92558,45.77952,53.178,8.09603,8.79792,6.13212,2.53138
53.92225,45.77902,53.17858,8.09663,8.79738,6.13197,2.53072
53.92484,45.77867,53.1831,8.09622,8.79683,6.13161,2.5306
53.92441,45.77531,53.18576,8.09381,8.79652,6.13016,2.53017
53.92396,45.77788,53.18541,8.0934,8.79615,6.1295,2.5297
53.92063,45.77738,53.18494,8.09299,8.79567,6.12935,2.52903
53.92297,45.777,53.18153,8.09259,8.79538,6.12894,2.52891
53.92273,45.77345,53.18412,8.09218,8.79488,6.12854,2.52853
53.92233,45.77615,53.18371,8.09159,8.79453,6.12775,2.52801
53.919,45.77566,53.17529,8.09136,8.79403,6.12752,2.52621
53.92159,45.77531,53.17189,8.09096,8.79368,6.12736,2.52604
53.92116,45.77189,53.17428,8.09055,8.79312,6.12691,2.52579
53.92071,45.77451,53.17412,8.09014,8.79158,6.12626,2.52532
53.92538,45.77402,53.17365,8.08973,8.79128,6.1251,2.52465
53.92896,45.77363,53.17024,8.09033,8.79098,6.1247,2.52453
53.92848,45.7702,53.17284,8.08992,8.79043,6.12429,2.52415
53.92807,45.77259,53.17243,8.08951,8.79013,6.12364,2.52363
53.92462,45.77229,53.17201,8.08711,8.78964,6.12348,2.52195
53.92734,45.77194,53.1686,8.08652,8.78929,6.12313,2.52183
53.92691,45.76853,53.17124,8.08629,8.78878,6.12267,2.52141
53.92645,45.7711,53.17083,8.08587,8.78843,6.12201,2.52094
53.92312,45.77065,53.17037,8.08548,8.78788,6.12186,2.52027
53.92563,45.77027,53.16688,8.08507,8.78733,6.12145,2.52015
53.92523,45.76689,53.16955,8.08465,8.78704,6.12105,2.51978
53.92482,45.76947,53.16914,8.08424,8.78666,6.11939,2.51925
53.92149,45.76893,53.16872,8.08384,8.78619,6.11924,2.51758
53.92383,45.76858,53.16532,8.08343,8.78589,6.11889,2.51746
53.92365,45.76504,53.16791,8.08402,8.78439,6.11843,2.51704
53.9232,45.76774,53.16855,8.08344,8.78405,6.11765,2.51656
53.91986,45.76729,53.16709,8.08321,8.78354,6.11741,2.51576
53.92238,45.7669,53.16367,8.0808,8.78319,6.11721,2.51559
53.92197,45.76348,53.16607,8.08039,8.78264,6.1168,2.5154
53.92157,45.76605,53.16586,8.07999,8.78209,6.11615,2.51488
53.91824,45.76556,53.16545,8.07958,8.78179,6.116,2.5132
53.92083,45.76522,53.16203,8.07917,8.7815,6.11464,2.51308
53.9204,45.76179,53.16462,8.07876,8.78095,6.11419,2.51266
53.91695,45.76418,53.16426,8.07836,8.78065,6.11353,2.51218
53.90948,45.76393,53.16381,8.07795,8.78015,6.11338,2.51151
53.91112,45.76353,53.1604,8.07736,8.7798,6.11297,2.51139
53.91072,45.76011,53.16303,8.07714,8.7793,6.11256,2.51102
53.91031,45.76269,53.16257,8.07773,8.77894,6.11191,2.5105
53.90698,45.76219,53.16216,8.07731,8.7774,6.11175,2.50882
53.90958,45.76185,53.15868,8.0769,8.77685,6.1114,2.5087
53.90915,45.75848,53.16135,8.0745,8.77655,6.11095,2.50828
53.90869,45.76106,53.16098,8.07409,8.77617,6.10929,2.50781
53.90536,45.76056,53.16052,8.07368,8.7757,6.10914,2.50714
