"ll-115200-dma-debug","ll-115200-dma-minsize","ll-115200-dma-release","ll-115200-irq-debug","ll-115200-irq-minsize","ll-115200-irq-release","ll-115200-poll-debug","ll-115200-poll-minsize","ll-115200-poll-release"
1155580,1055040,1140630,1065520,1047640,1047420,1062580,1052680,1045480
1092510,1140300,1138080,1064200,1055020,1046100,1061190,1051050,1044280
1177310,1145470,1052520,1062900,1053700,1044860,1059990,1049810,1051630
1168130,1142060,1137950,1061860,1052400,1052160,1067370,1048490,1050200
1159320,1058350,1135370,1060520,1051080,1050840,1065830,1047370,1049000
1087360,1143750,1132790,1067780,1049720,1049480,1064540,1054530,1047800
1171880,1140240,1055920,1066280,1048380,1048240,1062840,1053260,1046460
1171550,1136830,1141350,1064980,1047080,1046900,1062050,1051820,1045120
1162360,1061850,1138760,1063660,1054480,1045560,1060830,1050790,1052410
1090810,1147100,1136190,1062360,1053180,1052980,1059060,1049310,1051140
1175280,1143570,1050660,1061300,1051840,1051600,1066560,1048140,1049790
1166230,1140180,1136080,1068560,1050540,1050280,1065150,1046600,1048450
1157270,1056460,1142170,1067060,1049220,1048920,1064000,1053970,1047200
1085310,1141890,1139590,1065760,1047840,1047720,1062420,1052850,1045820
1178620,1138340,1054060,1064420,1055260,1046340,1061080,1051370,1044550
1169870,1143520,1139490,1063100,1053880,1044980,1059950,1050030,1051970
1160640,1059930,1136900,1062080,1052560,1052380,1067330,1048720,1050610
1088610,1145220,1134330,1060740,1051240,1051020,1065820,1047440,1049220
1173510,1141800,1048800,1068000,1049940,1049800,1064550,1054670,1047810
1164310,1138370,1142980,1066500,1048600,1048480,1063590,1053410,1046610
1163910,1054650,1140390,1065200,1047280,1047140,1062010,1052300,1045390
1092350,1140030,1137680,1063880,1054640,1045760,1060670,1050820,1052740
1176840,1145190,1052310,1062580,1053340,1053180,1059590,1049720,1051430
1167890,1141770,1137630,1061520,1051980,1051800,1067040,1048100,1050070
1158690,1058060,1135030,1060220,1050660,1050500,1065630,1047070,1048760
1087100,1143460,1141090,1067280,1049340,1049140,1063790,1054410,1047450
1171600,1139920,1055570,1065960,1048020,1047960,1062830,1052810,1046060
1171210,1136420,1141130,1064640,1046820,1046560,1061370,1051490,1044750
1162400,1061410,1138440,1063320,1054060,1045220,1060170,1050250,1052200
1090440,1146820,1135870,1062300,1052840,1052660,1067530,1049140,1050640
1174880,1143270,1050330,1060980,1051520,1051300,1066090,1047610,1049560
1166150,1139870,1135760,1068280,1050220,1049940,1064750,1046280,1048130
1156890,1056130,1141910,1066900,1048900,1048620,1063660,1053890,1046830
1093810,1141540,1139240,1065420,1047580,1047400,1062110,1052550,1045520
1178560,1137980,1053710,1064100,1054940,1046020,1060770,1051230,1052850
1169350,1143280,1139260,1062780,1053600,1044680,1059670,1049660,1051530
1160540,1059540,1136670,1061740,1052260,1052060,1067040,1048580,1050330
1088570,1144960,1133940,1060440,1050920,1050700,1065630,1047120,1048960
1173090,1141450,1057160,1067500,1049620,1049480,1064410,1054470,1047600
1164320,1137920,1142600,1066180,1048280,1048100,1062720,1053320,1046350
1163930,1054340,1139990,1064880,1046980,1046780,1062020,1051970,1044820
1091930,1148320,1137430,1063620,1054340,1045420,1060700,1050390,1052320
1176740,1144790,1051900,1062520,1053020,1052820,1058940,1049170,1051000
1167490,1141390,1137320,1061200,1051700,1051460,1066430,1048020,1049660
1158520,1057810,1134810,1068420,1050380,1050260,1065110,1046710,1048230
1086520,1143050,1140740,1066940,1049060,1048880,1063930,1053890,1047100
1171430,1139540,1055340,1065620,1047740,1047540,1062330,1052790,1045600
1170970,1136150,1140770,1064340,1055160,1046300,1060940,1051260,1053140
1161770,1061150,1138190,1063060,1053840,1044980,1059840,1049930,1051870
1090180,1146420,1135490,1061620,1052480,1052260,1067240,1048610,1050430
1174680,1143020,1050070,1060660,1051140,1050940,1065730,1047340,1049140
1165810,1139470,1135450,1067720,1049840,1049600,1064590,1054690,1047830
1156570,1055880,1141600,1066400,1048520,1048380,1063530,1053540,1046360
1093360,1141150,1138870,1065260,1047200,1047020,1061980,1051960,1045210
1178270,1137730,1053420,1063760,1054560,1045680,1060660,1050900,1052510
1168910,1142900,1138840,1062720,1053220,1053060,1059560,1049560,1051290
1160100,1059300,1136250,1061420,1051920,1051700,1066360,1048290,1050000
1088130,1144560,1133710,1059760,1050600,1050480,1065070,1046710,1048680
1173000,1141170,1056790,1067180,1049280,1049100,1063890,1054090,1047250
1163760,1137670,1142310,1065840,1047960,1047760,1062960,1052720,1046050
1163280,1053950,1139740,1064560,1046660,1046420,1061520,1051650,1044700
1091720,1148070,1137030,1063220,1054060,1045200,1060250,1050190,1051990
1176250,1144530,1051620,1062200,1052760,1052480,1067700,1048750,1050530
1167420,1141000,1137070,1060600,1051420,1051160,1066150,1047490,1049390
1158160,1057420,1134470,1067940,1050120,1049940,1064810,1046150,1048120
1086280,1142820,1140450,1066620,1048740,1048560,1063730,1053760,1046580
1179850,1139290,1054920,1065300,1047420,1047220,1062170,1052180,1045500
1170600,1135850,1140470,1064000,1054780,1045980,1060840,1050890,1052830
1161430,1060840,1137880,1062940,1053440,1053240,1059710,1049640,1051510
1089490,1146130,1135150,1061640,1052140,1051900,1067130,1048230,1050120
1174440,1142640,1049680,1060000,1050820,1050580,1065720,1047200,1048670
1165270,1139230,1143850,1067400,1049520,1049360,1064450,1054330,1047520
1156500,1055510,1141260,1066060,1048180,1048000,1062880,1052990,1046270
1093240,1140920,1138560,1064780,1046880,1046680,1061410,1051680,1044840
1177690,1146090,1053140,1063460,1054280,1045340,1060190,1050410,1052310
